Test,th_laufzeit,a_th,b_th,r2_th,prak_laufzeit,a_prak,b_prak,r2_prak,category
Proth Variant,O((log n)^3),2.1025890529230562e-07,0.001373854374200271,0.003594072815638394,O(log n),5.358503498355016e-05,0.0010628151647576762,0.004935329735128002,Zusammengesetzte
Solovay-Strassen,O((log n)^3),-1.9984359609802096e-06,0.01648071205555801,0.00972739760769803,O(log^2 n),-2.5007454062226467e-05,0.01695710175662298,0.00977307625746282,Probabilistische Tests
Fermat,O((log n)^3),-1.3465061200278177e-05,0.08193026638708824,0.01908290410365665,O(log n),-0.0026773977124223964,0.09497423754175048,0.02026850030851679,Probabilistische Tests
Optimized Pocklington Variant,O(log n * (log n)^3),0.013370100664965587,-99.75675402834446,0.022628945034909198,O(log^9 n),7.69291940301218e-08,-3.391430100131373,0.024216992182735653,Zusammengesetzte
Miller-Selfridge-Rabin,O((log n)^4),-1.2070839079433734e-06,0.08221803531172125,0.023105203027066423,O(log^3 n),-1.4226385009013974e-05,0.08401903036431167,0.023584144935586138,Probabilistische Tests
Optimized Pocklington,O(log n * (log n)^3),0.008055196983408197,-62.53466148359381,0.03316994150614183,O(log^10 n),3.9864054796723445e-09,0.5387205348589532,0.03601710062699315,Zusammengesetzte
Pocklington,O((log n)^3),0.10469111131353628,-66.93514521404832,0.0629634929690962,O(n),0.0011652362927660027,-0.764543588347415,0.0736860298179779,Zusammengesetzte
Rao,O(n (log n)^2),7.707601613083268e-11,0.0019242428682157723,0.08765914702200361,O(log^7 n),4.209623072113478e-11,0.0017136824490324239,0.09287835847690129,Zusammengesetzte
Pepin,O(2^n * log(2)),1.224987051732156e-05,-7.612630231889198,0.2000979037306423,O(log n),6.631589100943186e-05,0.0004258132935742348,0.3951909858600965,Spezielle Tests
AKS10,O((log n)^{18}),1.475511816719078e-18,5.343372685335674,0.4268688597475493,O(sqrt(n)),0.049626210807792975,2.537868010273071,0.5161856105873335,Langsame Tests
Generalized Pocklington,O(log n * (log n)^3),0.0035437640182328567,-33.17034163489909,0.5239053641159505,O(n log^3 n),4.830955054116846e-07,-0.3586896451031336,0.6231826147071657,Zusammengesetzte
Proth,O((log n)^3),0.012536753886043988,-5.978864199513947,0.525861579457183,O(n log^2 n),1.7101054633539081e-06,-0.16865024409420304,0.7088139829883418,Zusammengesetzte
Optimized Lucas,O(n (log n)^3),5.69079288505006e-07,-0.08187581250002829,0.5291127404174187,O(n log^4 n),5.062201682236708e-08,0.39289792134129975,0.5291849983010375,Lucas-Tests
Ramzy,O(log(log n) * (log n)^3),0.028484635487025015,-41.96848647734662,0.6127367655136147,O(n log^2 n),6.386775990171478e-06,-0.47674332548047005,0.7373811049245725,Zusammengesetzte
Lucas,O(n log n * (log n)^3),2.6840758801300574e-08,0.47543693328563563,0.7174344674642048,O(n log^3 n),4.35512318219758e-07,0.10862743097960781,0.7179992629457088,Lucas-Tests
Initial Lucas,O(n^2 (log n)^3),5.4091089052196736e-12,2.8378214368715655,0.7304259139811806,O(n log^3 n),4.453664804189444e-07,0.1499710375226666,0.7859181363534031,Lucas-Tests
Lucas-Lehmer,O((log n)^2 * log n),1.1717839164363558e-06,0.0011231085184603491,0.8536903133475608,O(log^3 n),1.6905268452361765e-06,0.0011231085184603494,0.853690313347561,Lucas-Tests
Wilson,O(n (log n)^2),6.174525768942328e-06,-1.9490470825295425,0.9511381718963042,O(n log^5 n),4.387944955160169e-09,-0.7362696097790558,0.970332090870508,Langsame Tests
