test,k,avg_time,best_time,worst_time,std_dev
Fermat (k = 1),1,0.0775136,0.0,76.299,0.07443125967146882
Fermat (k = 2),2,0.1118133,0.0,68.342,0.11053207487904886
Fermat (k = 3),3,0.1965028,0.0,69.002,0.1838342182405638
Fermat (k = 4),4,0.09308,0.0,7.05,0.05709910601671372
Fermat (k = 5),5,0.114647,0.0,6.968,0.07860216722006902
Miller-Selfridge-Rabin (k = 1),1,0.0881022,0.0,49.548,0.05445720626226979
Miller-Selfridge-Rabin (k = 2),2,0.12076920000000001,0.0,166.005,0.08979413694703556
Miller-Selfridge-Rabin (k = 3),3,0.23054299999999997,0.0,58.962,0.2239062700206294
Miller-Selfridge-Rabin (k = 4),4,0.11288899999999999,0.0,4.561,0.06779747175357041
Miller-Selfridge-Rabin (k = 5),5,0.134329,0.0,7.325,0.08906031944418065
Solovay-Strassen (k = 1),1,0.0178719,0.0,46.16,0.01351072701095085
Solovay-Strassen (k = 2),2,0.0273443,0.0,43.372,0.02378304692090749
Solovay-Strassen (k = 3),3,0.0474234,0.0,39.092,0.044732059240155414
Solovay-Strassen (k = 4),4,0.028925,0.0,1.189,0.019411341405868254
Solovay-Strassen (k = 5),5,0.031907,0.0,2.018,0.02328455542890012
